Strain,Total Reads,Total < 170,Total > 170,CN = 1,CN > 5,CN > 20,CN > 50,CN > 100
MCAM-ET-2013-MU-01,172309,7516,85337,70822,3167,614,126,22
MCAM-ET-2013-MU-02,81340,3280,45376,37218,1670,143,22,10
MCAM-ET-2013-MU-04,100077,4249,54666,45348,1903,224,63,2
MCAM-ET-2013-MU-05,68887,2000,28823,19230,1898,186,35,2
MCAM-ET-2013-MU-09,135854,6325,71147,58373,2862,386,31,2
MCAM-ET-2013-MU-14,374409,16637,165769,137189,7379,1403,416,82
MCAM-ET-2013-MU-17,113493,4983,61599,51711,1993,331,56,5
MCAP-ZM-83-TRPZ267,730224,15077,189949,131859,12622,2053,398,808
Merzouga-56,124851,3450,41170,27114,3682,703,70,3
MHOM-CI-78-DALOA69,80632,1512,22098,14985,1953,714,128,0
MHOM-CI-78-DALOA72-cloneA,1773,143,1249,1025,6,0,0,0
MHOM-CI-78-TH1-037,2038042,53192,486302,365124,26418,6216,1463,1174
MHOM-CI-78-TH113,51844,4413,35143,29807,542,1,0,0
MHOM-CI-78-TH2,213206,8207,96700,75847,3331,707,346,38
MHOM-CI-79-DALOA74,79952,1528,22058,14918,2083,681,108,0
MHOM-CI-79-MURAZ3,140770,5889,68698,53658,2306,505,132,7
MHOM-CI-91-SIQUE1623,85723,1153,25596,17404,2151,776,82,3
MHOM-CI-TH162,111266,5320,48141,32921,3076,285,7,0
MHOM-ET-67-GAMBELA1,1370605,43861,400748,307282,20723,3877,842,1158
MHOM-ET-69-GAMBELA3,853160,23703,229615,169039,12248,2087,533,861
MHOM-KE-81-LVH122,880567,19398,234578,164829,13190,2023,384,934
MHOM-KE-82-LVH61R,1611567,35269,328786,221690,22702,4214,1051,1307
MHOM-KE-82-LVH61R-bis,3550874,102367,804925,612352,42705,9228,2650,2320
MHOM-SD-82-BIYAMINA-bis,2507635,82558,680602,527117,31604,5657,1863,1540
MHOM-SD-82-SUZENA,116714,2657,36000,25921,2525,903,201,4
MHOM-UG-77-KETRI-2355,1581290,29990,341246,228735,22720,4293,912,1098
MHOM-ZM-82-TRPZ186,1158134,20128,258826,172827,19035,3086,846,1056
MHOM-ZR-71-C126,30490,713,10270,7041,843,257,5,0
Mibene,30,15,13,13,0,0,0,0
MKOD-BF-80-KD3,317210,12087,140389,105674,5610,891,348,119
MKOK-BF-80-KK1,305103,6434,117764,92157,3435,532,282,385
MKOK-BF-80-KK25,415341,9608,150054,115546,4881,735,379,464
MKOK-BF-80-KK7,165150,5535,71653,53652,2659,623,240,30
MKOK-BF-90-KK17,475747,16023,160504,116034,8981,1427,718,375
MOERBEKE-103,276610,6203,78811,61783,4658,1034,792,255
MOERBEKE-82,51474,1175,19196,15316,935,294,125,3
Mongo,65599,1465,19701,14826,1104,348,205,29
MOS-bis,20944,663,9499,7188,668,57,0,0
Moyox2,32150,696,18482,14870,738,55,0,0
MSUS-CI-78-TSW129-cloneA,84476,1920,34795,26432,1415,498,115,8
MSUS-CI-78-TSW129-cloneC,232180,4901,72820,50689,3844,788,303,321
MSUS-CI-78-TSW168,115440,3931,56468,40733,1854,319,87,6
MSUS-CI-78-TSW176,175977,6883,83278,67271,2741,525,292,28
MSUS-CI-78-TSW178,179412,3878,70372,52189,2621,655,343,107
MSUS-CI-78-TSW185-bis,168344,5880,83824,70662,2043,544,324,34
MSUS-CI-78-TSW185-cloneA,190559,4151,64655,46255,3112,648,323,200
MSUS-CI-78-TSW185-cloneC,139104,3546,60249,44875,2134,603,209,23
MSUS-CI-78-TSW187-bis,441860,13983,174854,134953,6801,1608,442,369
MSUS-CI-78-TSW190,131152,6093,70709,54685,1846,304,80,3
MSUS-CI-78-TSW38-021,136692,5290,78568,67516,1569,575,104,2
MSUS-CI-78-TSW382-bis,119553,4651,67064,55206,1184,417,114,4
MSUS-CI-78-TSW390,173318,4407,69558,49147,3269,614,319,16
MSUS-CI-78-TSW390-bis,246835,8684,108980,84242,4238,634,437,55
MSUS-CI-82-TSW125-KP1-cloneB,23190,541,10194,7255,787,64,0,0
MSUS-CI-82-TSW171,216736,7015,95198,77737,2703,562,371,168
MSUS-CI-82-TSW23,173520,7823,83677,65189,2956,597,154,8
MSUS-CI-82-TSW26,157097,6765,85028,69604,1773,687,93,11
MSUS-CI-82-TSW31-BO1,1282060,21571,280640,188556,20880,4119,1057,926
MSUS-CI-82-TSW31-KP1,149079,3640,59124,43851,2620,819,215,25
MSUS-CI-82-TSW32-B01,97074,2852,44262,32762,1549,313,134,10
MSUS-CI-82-TSW35,150170,6828,75620,59763,2434,576,105,0
MSUS-CI-82-TSW36,105242,3127,50237,36125,1773,411,57,2
