Strain,Type,Total,QC_passed,QC_failed,Secondary,Supplementary,Duplicates,Mapped,Mapped_percent,Paired,Read1,Read2,Properly_paired,Properly_paired_percent,Self_and_mate_mapped,Singletons,Singletons_percent,Mate_mapped_diff_chr,Mate_mapped_diff_chr_mapQ_ge_5
Bage,TBR,68694 68694 0 0 187 0 378 0 68507 34266 34241 66958 0 68421 43 0 378 378
BAT1,Normal,28368127 28368127 0 0 235955 0 463782 0 28132172 14066086 14066086 25215628 0 26341418 175841 0 463782 463782
BAT1,TBR,27931 27931 0 0 122 0 71 0 27809 13905 13904 27448 0 27789 10 0 71 71
BAT31,Normal,34635906 34635906 0 0 297240 0 603007 0 34338666 17169333 17169333 30761934 0 32257732 218534 0 603007 603007
BAT31,TBR,32891 32891 0 0 114 0 218 0 32777 16394 16383 32008 0 32739 19 0 218 218
BAT33,Normal,31901981 31901981 0 0 262333 0 516243 0 31639648 15819824 15819824 28422476 0 29715726 183408 0 516243 516243
BAT33,TBR,32504 32504 0 0 146 0 179 0 32358 16192 16166 31640 0 32332 13 0 179 179
BAT35,Normal,24171100 24171100 0 0 173034 0 333943 0 23998066 11999033 11999033 21758184 0 22608246 127025 0 333943 333943
BAT35,TBR,34215 34215 0 0 121 0 222 0 34094 17054 17040 33340 0 34082 6 0 222 222
BIM-AnTat-8-1-P8,Normal,48525792 48525792 0 0 453218 0 943260 0 48072574 24036287 24036287 40503288 0 42914566 453460 0 943260 943260
BIM-AnTat-8-1-P8,TBR,56140 56140 0 0 37 0 129 0 56103 28038 28065 55508 0 56041 31 0 129 129
BIP20,Normal,19493174 19493174 0 0 106980 0 221499 0 19386194 9693097 9693097 17898658 0 18452954 75969 0 221499 221499
BIP20,TBR,4221 4221 0 0 24 0 27 0 4197 2100 2097 4034 0 4193 2 0 27 27
BIP24,Normal,28256346 28256346 0 0 181732 0 403428 0 28074614 14037307 14037307 25627012 0 26581808 140556 0 403428 403428
BIP24,TBR,15789 15789 0 0 233 0 104 0 15556 7789 7767 14876 0 15498 29 0 104 104
BIP28,Normal,24139516 24139516 0 0 148888 0 310885 0 23990628 11995314 11995314 22001284 0 22771000 111684 0 310885 310885
BIP28,TBR,5616 5616 0 0 196 0 0 0 5420 2711 2709 5254 0 5400 10 0 0 0
BIP33,Normal,24118100 24118100 0 0 133272 0 296349 0 23984828 11992414 11992414 21913094 0 22624442 107310 0 296349 296349
BIP33,TBR,11933 11933 0 0 89 0 75 0 11844 5929 5915 11386 0 11836 4 0 75 75
BIP42,Normal,24122253 24122253 0 0 131865 0 278294 0 23990388 11995194 11995194 22139892 0 22823134 99781 0 278294 278294
BIP42,TBR,17196 17196 0 0 222 0 113 0 16974 8471 8503 16334 0 16940 17 0 113 113
Bosendja,Normal,48600502 48600502 0 0 387490 0 813824 0 48213012 24106506 24106506 42313860 0 44330886 281670 0 813824 813824
Bosendja,TBR,115171 115171 0 0 316 0 963 0 114855 57304 57551 110634 0 114653 101 0 963 963
BoTat-1-1,Normal,30350333 30350333 0 0 296559 0 627326 0 30053774 15026887 15026887 25560168 0 27036600 255717 0 627326 627326
BoTat-1-1,TBR,124347 124347 0 0 279 0 3200 0 124068 62029 62039 112586 0 123636 216 0 3200 3200
BoTat-1-1-bis,Normal,36878260 36878260 0 0 370996 0 697436 0 36507264 18253632 18253632 31505516 0 33186502 304657 0 697436 697436
BoTat-1-1-bis,TBR,130878 130878 0 0 223 0 3284 0 130655 65364 65291 118914 0 130397 129 0 3284 3284
BRAZAVILLE-BB,Normal,28177302 28177302 0 0 234294 0 534838 0 27943008 13971504 13971504 24136690 0 25448584 170749 0 534838 534838
BRAZAVILLE-BB,TBR,19185 19185 0 0 47 0 76 0 19138 9557 9581 18576 0 19098 20 0 76 76
C3359,Normal,24178549 24178549 0 0 175853 0 310469 0 24002696 12001348 12001348 21693834 0 22488196 126296 0 310469 310469
C3359,TBR,29 29 0 0 1 0 1 0 28 15 13 14 0 26 1 0 1 1
C3392,Normal,24172124 24172124 0 0 167772 0 293739 0 24004352 12002176 12002176 21662332 0 22415792 120197 0 293739 293739
C3392,TBR,31 31 0 0 0 0 2 0 31 14 17 18 0 27 2 0 2 2
Canadian-Strain,Normal,33987821 33987821 0 0 353313 0 584706 0 33634508 16817254 16817254 28492280 0 30111858 218722 0 584706 584706
Canadian-Strain,TBR,362318 362318 0 0 792 0 7613 0 361526 180771 180755 333708 0 360548 489 0 7613 7613
Colombia,Normal,22840240 22840240 0 0 209590 0 453322 0 22630650 11315325 11315325 18931042 0 20045118 214152 0 453322 453322
Colombia,TBR,54689 54689 0 0 137 0 1139 0 54552 27269 27283 51022 0 54388 82 0 1139 1139
CP81,Normal,25317298 25317298 0 0 8552 0 2645 0 25308746 12654373 12654373 1096110 0 1110082 206990 0 2645 2645
CP81,TBR,47 47 0 0 0 0 0 0 47 23 24 24 0 25 11 0 0 0
D12K-ITMAP1857,Normal,32766834 32766834 0 0 265858 0 511160 0 32500976 16250488 16250488 26528662 0 27848752 188198 0 511160 511160
D12K-ITMAP1857,TBR,22583 22583 0 0 38 0 83 0 22545 11260 11285 22130 0 22513 16 0 83 83
Demba,Normal,24137126 24137126 0 0 143632 0 325716 0 23993494 11996747 11996747 21982202 0 22782140 120815 0 325716 325716
Demba,TBR,41851 41851 0 0 76 0 310 0 41775 20874 20901 40668 0 41761 7 0 310 310
Doume1,Normal,24045866 24045866 0 0 165358 0 321771 0 23880508 11940254 11940254 21724504 0 22530110 118709 0 321771 321771
Doume1,TBR,2732 2732 0 0 33 0 114 0 2699 1352 1347 2438 0 2697 1 0 114 114
E28,Normal,29426234 29426234 0 0 275270 0 636438 0 29150964 14575482 14575482 25624238 0 27089620 244791 0 636438 636438
E28,TBR,111662 111662 0 0 208 0 3006 0 111454 55741 55713 100838 0 111128 163 0 3006 3006
Etat-1-2R,Normal,51404514 51404514 0 0 772684 0 606921 0 50631830 25315915 25315915 26191274 0 27524076 409006 0 606921 606921
Etat-1-2R,TBR,575269 575269 0 0 8796 0 7594 0 566473 283295 283178 525668 0 552581 6946 0 7594 7594
